list-il-s,4,2,1,24,212739,8864
list-il-s,8,2,1,48,501413,10446
list-il-s,12,2,1,72,625949,8693
list-il-s,2,4,1,24,118802,4950
list-il-s,4,4,1,48,430533,8969
list-il-s,8,4,1,96,841070,8761
list-il-s,12,4,1,144,1737071,12062
list-il-s,2,8,1,48,596878,12434
list-il-s,4,8,1,96,623092,6490
list-il-s,8,8,1,192,7359993,38333
list-il-s,12,8,1,288,9830581,34133
list-il-s,2,16,1,96,1051194,10949
list-il-s,4,16,1,192,4525497,23570
list-il-s,8,16,1,384,10621147,27659
list-il-s,12,16,1,576,42418700,73643
list-il-s,2,32,1,192,2480751,12920
list-il-s,4,32,1,384,4883027,12716
